COUNTRY,SPADOC_CD,ORBITAL_TBA,ORBITAL_PAYLOAD_COUNT,ORBITAL_ROCKET_BODY_COUNT,ORBITAL_DEBRIS_COUNT,ORBITAL_TOTAL_COUNT,DECAYED_PAYLOAD_COUNT,DECAYED_ROCKET_BODY_COUNT,DECAYED_DEBRIS_COUNT,DECAYED_TOTAL_COUNT,COUNTRY_TOTAL
"ISRAEL","ISRA","0","20","0","0","20","5","8","1","14","34"
"INTERNATIONAL SPACE STATION","ISS","0","5","0","3","8","1","0","96","97","105"
"ITALY","IT","0","30","2","0","32","12","0","2","14","46"
"INTERNATIONAL TELECOMMUNICATIONS SATELLITE ORGANIZATION (INTELSAT)","ITSO","0","91","0","1","92","1","0","0","1","93"
"Hashemite Kingdom of Jordan","JOR","0","1","0","0","1","0","0","0","0","1"
"JAPAN","JPN","0","185","60","55","300","64","66","180","310","610"
"KAZAKHSTAN","KAZ","0","8","0","0","8","0","0","0","0","8"
"Republic of Kenya","KEN","0","1","0","0","1","0","0","0","0","1"
"LAOS","LAOS","0","1","0","0","1","0","0","0","0","1"
"Democratic Socialist Republic of Sri Lanka","LKA","0","1","0","0","1","0","0","0","0","1"
"LITHUANIA","LTU","0","3","0","0","3","2","0","0","2","5"
"LUXEMBOURG","LUXE","0","1","0","0","1","1","0","0","1","2"
"Morocco","MA","0","2","0","0","2","0","0","0","0","2"
"MALAYSIA","MALA","0","7","0","0","7","0","0","0","0","7"
"MEXICO","MEX","0","10","0","0","10","0","0","0","0","10"
"MONGOLIA","MNG","0","0","0","0","0","1","0","0","1","1"
"NORTH ATLANTIC TREATY ORGANIZATION","NATO","0","8","0","0","8","0","0","0","0","8"
"NETHERLANDS","NETH","0","8","0","0","8","1","0","0","1","9"
"NEW ICO","NICO","0","1","0","0","1","0","0","0","0","1"
"NIGERIA","NIG","0","5","0","0","5","1","0","0","1","6"
"NORTH KOREA","NKOR","0","2","2","1","5","0","0","1","1","6"
"NORWAY","NOR","0","11","0","0","11","0","0","0","0","11"
"Federal Democratic Republic of Nepal","NPL","0","1","0","0","1","0","0","0","0","1"
"New Zealand","NZ","0","0","0","0","0","1","0","0","1","1"
"O3B NETWORKS","O3B","0","20","0","0","20","0","0","0","0","20"
"ORBITAL TELECOMMUNICATIONS SATELLITE (GLOBALSTAR)","ORB","0","58","0","11","69","1","0","2","3","72"
"PAKISTAN","PAKI","0","6","0","0","6","1","0","0","1","7"
"PERU","PER","0","2","0","0","2","2","0","0","2","4"
"POLAND","POL","0","5","0","0","5","1","0","0","1","6"
"PORTUGAL","POR","0","1","0","0","1","0","0","0","0","1"
"PEOPLES REPUBLIC OF CHINA","PRC","25","401","168","3547","4141","92","167","1150","1409","5550"
"REGIONAL AFRICAN SATELLITE COMMUNICATIONS ORG","RASC","0","2","0","0","2","0","0","0","0","2"
"REPUBLIC OF CHINA (TAIWAN)","ROC","0","16","0","0","16","0","0","0","0","16"
"ROMANIA","ROM","0","0","0","0","0","1","0","0","1","1"
"REPUBLIC OF PHILIPPINES","RP","0","2","0","0","2","1","0","0","1","3"
"Republic of Rwanda","RWA","0","1","0","0","1","0","0","0","0","1"
"SOUTH AFRICA","SAFR","0","6","0","0","6","1","0","0","1","7"
"SAUDI ARABIA","SAUD","0","15","0","0","15","0","0","0","0","15"
"Republic of Sudan","SDN","0","1","0","0","1","0","0","0","0","1"
"SEA LAUNCH DEMO","SEAL","0","1","30","3","34","0","3","0","3","37"
"SOCIÉTÉ EUROPÉENNE DES SATELLITES","SES","0","61","0","0","61","1","0","0","1","62"
"SINGAPORE","SING","0","11","0","0","11","1","0","0","1","12"
"SOUTH KOREA","SKOR","0","24","1","0","25","5","0","0","5","30"
"SPAIN","SPN","0","27","0","0","27","3","0","0","3","30"
"SINGAPORE/TAIWAN","STCT","0","2","0","0","2","0","0","0","0","2"
"SWEDEN","SWED","0","11","0","0","11","1","0","0","1","12"
"SWITZERLAND","SWTZ","0","4","0","0","4","0","0","0","0","4"
"TO BE DETERMINED/UNKNOWN","TBD","77","4","0","0","81","1","0","0","1","82"
"THAILAND","THAI","0","10","0","0","10","0","0","0","0","10"
"TURKMENISTAN/MONACO","TMMC","0","1","0","0","1","0","0","0","0","1"
"TURKEY","TURK","0","13","0","0","13","2","0","0","2","15"
"UNITED ARAB EMIRATES","UAE","0","10","0","0","10","0","0","0","0","10"
"UNITED KINGDOM","UK","0","125","1","1","127","11","0","4","15","142"
"UKRAINE","UKR","0","4","2","0","6","3","0","0","3","9"
"URUGUAY","URY","0","1","0","0","1","0","0","0","0","1"
"UNITED STATES OF AMERICA","US","18","2127","708","4183","7036","1125","700","4589","6414","13450"
"UNITED STATES/BRAZIL","USBZ","0","1","0","0","1","0","0","0","0","1"
"VENEZUELA","VENZ","0","3","0","0","3","0","0","0","0","3"
"VIETNAM","VTNM","0","3","0","0","3","2","0","0","2","5"
"ALL","ALL","123","5650","2231","12594","20598","3482","3928","17523","24933","45531"
