,,,,,,
,,,,,,
2,731,69.9083, 31.7416 0012937,11.6349,348.5052,13.9585007
1,734U, 64002B  ,20122.57070595,0.00000003, +00000-0, +20108-4 
2,734,99.1255,297.1714 0014559,180.8513,179.2644,14.2887175
1,735U, 64002C  ,20122.87844023,0.00000002, +00000-0, +20486-4 
2,735,99.1292,291.7258 0015744,290.3096,69.6392,14.2782523
1,801U, 64026A  ,20122.9580125,0.00000124,  00000-0,  58669-4 
2,801,90.519, 64.0170 0050602,42.4747,318.0339,14.146286
1,812U, 64031A  ,20123.13638541,-0.00000023,  00000-0,  13615-4 
2,812,99.8119,351.6402 0004901,230.1952,129.8791,14.2385692
1,813U, 64031B  ,20122.70784423,-0.00000032, +00000-0, +97430-5 
2,813,99.8231,349.6102 0004845,322.7821,37.3017,14.2305342
1,870U, 64051A  ,20122.74412743,0.00000022, +00000-0, +10523-4 
2,870,79.8995,192.0264 0097915,41.0259,319.8208,13.9114998
1,876U, 64053A  ,20122.32189528,-0.00000054, +00000-0, +14333-4 
2,876,65.0608,084.7295 0124137,55.544,305.7317,14.6375688
1,897U, 64063B  ,20122.82993921,0.0000003, +00000-0, +31472-4 
2,897,90.1681,030.1361 0018708,195.2136,234.2581,13.5344764
1,899U, 64064A  ,20122.88969813,0.00000086, +00000-0, +69995-4 
2,899,79.6929,052.9321 0119788,192.3295,167.4919,13.8212751
1,900U, 64063C  ,20122.90655688,0.00000196, +00000-0, +20067-3 
2,900,90.1575,027.6399 0025738,192.2571,298.3694,13.7336451
1,902U, 64063E  ,20122.76275178,0.00000001, +00000-0, -11447-4 
2,902,90.1688,030.2581 0016482,239.4649,180.424,13.5268271
1,932U, 64076B  ,20123.16078071,0.00000085,  00000-0,  30837-4 
2,932,81.3388,294.2157 1131722,285.4898,62.4189,12.6400844
1,959U, 64083C  ,20122.73747064,0.00000042, +00000-0, +41898-4 
2,959,89.9968,187.4431 0043988,66.6948,46.051,13.6162453
1,963U, 64086A  ,20121.98667837,0.00100425, -12002-4, +70452-3 
2,963,19.7107,358.1479 0695172,52.1914,313.9413,14.4604731
1,965U, 64083D  ,20122.8484051,0.00000032, +00000-0, +32641-4 
2,965,90.021,193.4927 0039856,341.9243,151.8723,13.5674112
1,978U, 65004A  ,20122.82033309,-0.0000008, +00000-0, -84008-4 
2,978,96.404,249.0124 1158826,191.3269,165.9504,12.108901
