INTLDES,NORAD_CAT_ID,OBJECT_TYPE,SATNAME,COUNTRY,LAUNCH,SITE,DECAY,PERIOD,INCLINATION,APOGEE,PERIGEE,COMMENT,COMMENTCODE,RCSVALUE,RCS_SIZE,FILE,LAUNCH_YEAR,LAUNCH_NUM,LAUNCH_PIECE,CURRENT,OBJECT_NAME,OBJECT_ID,OBJECT_NUMBER
2020-012BN,45238,DEBRIS,FALCON 9 DEB,US,2020-02-17,AFETR,2020-03-25,87.48,52.99,158,141,,,0,MEDIUM,7261,2020,12,BN,Y,FALCON 9 DEB,2020-012BN,45238
2020-012BR,45241,DEBRIS,FALCON 9 DEB,US,2020-02-17,AFETR,2020-03-23,88.23,52.99,206,169,,,0,MEDIUM,7261,2020,12,BR,Y,FALCON 9 DEB,2020-012BR,45241
2020-006BR,45107,DEBRIS,FALCON 9 DEB,US,2020-01-29,AFETR,2020-03-22,87.34,52.98,146,139,,,0,MEDIUM,7278,2020,6,BR,Y,FALCON 9 DEB,2020-006BR,45107
2019-006AR,44154,DEBRIS,MICROSAT-R DEB,IND,2019-01-24,SRI,2020-03-22,88.73,96.58,239,185,,,0,SMALL,7261,2019,6,AR,Y,MICROSAT-R DEB,2019-006AR,44154
2020-012BQ,45240,DEBRIS,FALCON 9 DEB,US,2020-02-17,AFETR,2020-03-22,87.58,52.99,163,147,,,0,MEDIUM,7261,2020,12,BQ,Y,FALCON 9 DEB,2020-012BQ,45240
2016-081E,41902,ROCKET BODY,CZ-2D R/B,PRC,2016-12-21,JSC,2020-03-21,87.31,97.84,144,138,,,0,LARGE,7261,2016,81,E,Y,CZ-2D R/B,2016-081E,41902
2020-012BP,45239,DEBRIS,FALCON 9 DEB,US,2020-02-17,AFETR,2020-03-21,87.63,52.99,165,149,,,0,MEDIUM,7261,2020,12,BP,Y,FALCON 9 DEB,2020-012BP,45239
2019-071A,44701,PAYLOAD,CYGNUS NG-12,US,2019-11-02,WLPIS,2020-03-17,93.84,51.62,471,454,,,0,LARGE,7246,2019,71,A,Y,CYGNUS NG-12,2019-071A,44701
2019-037H,44372,ROCKET BODY,ELECTRON R/B,US,2019-06-29,RLLC,2020-03-16,87.86,44.98,174,163,,,0,LARGE,7246,2019,37,H,Y,ELECTRON R/B,2019-037H,44372
2020-016B,45342,DEBRIS,DRAGON CRS-20 DEB,US,2020-03-07,AFETR,2020-03-14,87.77,51.64,176,152,,,0,MEDIUM,7268,2020,16,B,Y,DRAGON CRS-20 DEB,2020-016B,45342
2020-016C,45343,DEBRIS,DRAGON CRS-20 DEB,US,2020-03-07,AFETR,2020-03-13,88.29,51.62,212,168,,,0,MEDIUM,7246,2020,16,C,Y,DRAGON CRS-20 DEB,2020-016C,45343
2020-001BP,44975,DEBRIS,FALCON 9 DEB,US,2020-01-07,AFETR,2020-03-12,87.47,52.98,151,147,,,0,MEDIUM,7246,2020,1,BP,Y,FALCON 9 DEB,2020-001BP,44975
1989-097B,20362,ROCKET BODY,DELTA 2 R/B(1),US,1989-12-11,AFETR,2020-03-11,87.4,35.63,147,145,,,0,LARGE,7246,1989,97,B,Y,DELTA 2 R/B(1),1989-097B,20362
2020-001BN,44974,DEBRIS,FALCON 9 DEB,US,2020-01-07,AFETR,2020-03-11,87.9,52.98,172,169,,,0,MEDIUM,7278,2020,1,BN,Y,FALCON 9 DEB,2020-001BN,44974
1972-058KE,42571,DEBRIS,DELTA 1 DEB *,US,1972-07-23,AFWTR,2020-03-11,92.59,98.99,408,395,,,0,SMALL,7286,1972,58,KE,Y,DELTA 1 DEB *,1972-058KE,42571
2018-084Q,44054,DEBRIS,H-2A DEB,JPN,2018-10-29,TNSTA,2020-03-09,89.1,97.9,244,215,,,0,MEDIUM,7246,2018,84,Q,Y,H-2A DEB,2018-084Q,44054
2019-006CP,44203,DEBRIS,MICROSAT-R DEB,IND,2019-01-24,SRI,2020-03-07,88.49,96.08,211,189,,,0,SMALL,7246,2019,6,CP,Y,MICROSAT-R DEB,2019-006CP,44203
2020-001BQ,44976,DEBRIS,FALCON 9 DEB,US,2020-01-07,AFETR,2020-03-06,87.72,52.98,162,161,,,0,MEDIUM,7246,2020,1,BQ,Y,FALCON 9 DEB,2020-001BQ,44976
2020-012BS,45242,ROCKET BODY,FALCON 9 R/B,US,2020-02-17,AFETR,2020-03-05,87.53,52.99,164,140,,,0,LARGE,7246,2020,12,BS,Y,FALCON 9 R/B,2020-012BS,45242
2019-039AA,45009,DEBRIS,COSMOS 2535 DEB,CIS,2019-07-10,PKMTR,2020-03-04,91.63,98.2,380,329,,,0,SMALL,7246,2019,39,AA,Y,COSMOS 2535 DEB,2019-039AA,45009
2019-086B,44837,ROCKET BODY,KZ-1A R/B,PRC,2019-12-07,TSC,2020-03-04,87.42,97.45,167,127,,,0,LARGE,7289,2019,86,B,Y,KZ-1A R/B,2019-086B,44837
1998-067NR,43468,PAYLOAD,IRAZU,CRI,1998-11-20,TTMTR,2020-03-04,88.33,51.62,193,191,,,0,SMALL,7235,1998,67,NR,Y,IRAZU,1998-067NR,43468
2020-001BR,44977,DEBRIS,FALCON 9 DEB,US,2020-01-07,AFETR,2020-03-03,88.04,52.98,179,176,,,0,MEDIUM,7246,2020,1,BR,Y,FALCON 9 DEB,2020-001BR,44977
2020-012AK,45211,PAYLOAD,STARLINK-1220,US,2020-02-17,AFETR,2020-02-29,91.39,53,361,324,,,0,LARGE,7246,2020,12,AK,Y,STARLINK-1220,2020-012AK,45211
2019-039AD,45012,DEBRIS,COSMOS 2535 DEB,CIS,2019-07-10,PKMTR,2020-02-29,98.62,97.04,877,508,,,0,SMALL,7286,2019,39,AD,Y,COSMOS 2535 DEB,2019-039AD,45012
1973-056B,6792,ROCKET BODY,TITAN 34B AGENA D R/B,US,1973-08-21,AFWTR,2020-02-25,88.85,62.76,340,95,,,0,LARGE,7228,1973,56,B,Y,TITAN 34B AGENA D R/B,1973-056B,6792
2019-039W,45005,DEBRIS,COSMOS 2535 DEB,CIS,2019-07-10,PKMTR,2020-02-24,94.86,97.21,670,354,,,0,SMALL,7246,2019,39,W,Y,COSMOS 2535 DEB,2019-039W,45005
2020-011C,45177,ROCKET BODY,ANTARES R/B,US,2020-02-15,WLPIS,2020-02-23,87.4,51.58,151,140,,,0,LARGE,7222,2020,11,C,Y,ANTARES R/B,2020-011C,45177
2019-006CS,44216,DEBRIS,MICROSAT-R DEB,IND,2019-01-24,SRI,2020-02-22,88.46,95.89,215,181,,,0,SMALL,7246,2019,6,CS,Y,MICROSAT-R DEB,2019-006CS,44216
2020-007C,45112,ROCKET BODY,ELECTRON R/B,US,2020-01-31,RLLC,2020-02-22,87.59,69.96,177,133,,,0,LARGE,7228,2020,7,C,Y,ELECTRON R/B,2020-007C,45112
1990-055E,43502,DEBRIS,SL-6 DEB,CIS,1990-06-21,PKMTR,2020-02-21,88.79,62.76,222,207,,,0,SMALL,7226,1990,55,E,Y,SL-6 DEB,1990-055E,43502
2019-006CT,44217,DEBRIS,MICROSAT-R DEB,IND,2019-01-24,SRI,2020-02-21,88.79,96.1,231,198,,,0,SMALL,7225,2019,6,CT,Y,MICROSAT-R DEB,2019-006CT,44217
2019-039Z,45008,DEBRIS,COSMOS 2535 DEB,CIS,2019-07-10,PKMTR,2020-02-21,93.97,97.36,523,415,,,0,SMALL,7278,2019,39,Z,Y,COSMOS 2535 DEB,2019-039Z,45008
2018-084M,44051,DEBRIS,H-2A DEB,JPN,2018-10-29,TNSTA,2020-02-21,90.99,97.84,342,304,,,0,MEDIUM,7246,2018,84,M,Y,H-2A DEB,2018-084M,44051
2019-039R,45000,DEBRIS,COSMOS 2535 DEB,CIS,2019-07-10,PKMTR,2020-02-21,99.69,97.17,853,635,,,0,MEDIUM,7286,2019,39,R,Y,COSMOS 2535 DEB,2019-039R,45000
2015-054D,40943,DEBRIS,ARIANE 5 DEB (SYLDA),FR,2015-09-30,FRGUI,2020-02-20,97.18,6.33,1126,121,,,0,LARGE,7219,2015,54,D,Y,ARIANE 5 DEB (SYLDA),2015-054D,40943
2019-029M,44246,PAYLOAD,STARLINK-46,US,2019-05-24,AFETR,2020-02-20,87.8,52.97,183,148,,,0,LARGE,7221,2019,29,M,Y,STARLINK-46,2019-029M,44246
2020-011B,45176,DEBRIS,ANTARES DEB,US,2020-02-15,WLPIS,2020-02-17,87.86,51.62,174,163,,,0,,7278,2020,11,B,Y,ANTARES DEB,2020-011B,45176
2010-021D,36584,DEBRIS,ARIANE 5 DEB (SYLDA),FR,2010-05-21,FRGUI,2020-02-14,92.08,2.82,587,166,,,0,LARGE,7213,2010,21,D,Y,ARIANE 5 DEB (SYLDA),2010-021D,36584
2019-022J,44516,PAYLOAD,AC 10 PROBE(VENTURINI),US,2019-04-17,WLPIS,2020-02-12,89.82,51.62,275,256,,,0,SMALL,7220,2019,22,J,Y,AC 10 PROBE(VENTURINI),2019-022J,44516
2019-041A,44437,PAYLOAD,SOYUZ MS-13,CIS,2019-07-20,TTMTR,2020-02-06,92.95,51.64,423,416,,,0,SMALL,7205,2019,41,A,Y,SOYUZ MS-13,2019-041A,44437
2019-036H,44346,PAYLOAD,TEPCE,US,2019-06-25,AFETR,2020-02-01,88.56,28.51,221,185,,,0,SMALL,7205,2019,36,H,Y,TEPCE,2019-036H,44346
2019-039V,45004,DEBRIS,COSMOS 2535 DEB,CIS,2019-07-10,PKMTR,2020-01-28,94.54,97.16,637,355,,,0,SMALL,7278,2019,39,V,Y,COSMOS 2535 DEB,2019-039V,45004
2019-039T,45002,DEBRIS,COSMOS 2535 DEB,CIS,2019-07-10,PKMTR,2020-01-27,95.53,97.14,732,357,,,0,LARGE,7278,2019,39,T,Y,COSMOS 2535 DEB,2019-039T,45002
2019-006AU,44157,DEBRIS,MICROSAT-R DEB,IND,2019-01-24,SRI,2020-01-23,88.84,95.3,248,186,,,0,SMALL,7221,2019,6,AU,Y,MICROSAT-R DEB,2019-006AU,44157
2008-002B,32477,ROCKET BODY,PSLV R/B,IND,2008-01-21,SRI,2020-01-23,87.92,41.01,176,167,,,0,LARGE,7191,2008,2,B,Y,PSLV R/B,2008-002B,32477
2016-004C,44602,DEBRIS,ARIANE 5 DEB,FR,2016-01-27,FRGUI,2020-01-22,129.75,1.37,4073,150,,,0,MEDIUM,7203,2016,4,C,Y,ARIANE 5 DEB,2016-004C,44602
1983-044GV,43308,DEBRIS,COSMOS 1461 DEB,CIS,1983-05-07,TTMTR,2020-01-22,89.98,64.96,289,258,,,0,SMALL,7220,1983,44,GV,Y,COSMOS 1461 DEB,1983-044GV,43308
2019-074BN,44773,DEBRIS,FALCON 9 DEB,US,2019-11-11,AFETR,2020-01-22,87.94,52.99,177,168,,,0,MEDIUM,7200,2019,74,BN,Y,FALCON 9 DEB,2019-074BN,44773
1991-082BW,29075,DEBRIS,DMSP 5D-2 F11 DEB,US,1991-11-28,AFWTR,2020-01-22,90.06,98.57,284,270,,,0,SMALL,7220,1991,82,BW,Y,DMSP 5D-2 F11 DEB,1991-082BW,29075
2017-001B,41912,ROCKET BODY,CZ-3B R/B,PRC,2017-01-05,XSC,2020-01-21,88.15,26.97,254,112,,,0,LARGE,7193,2017,1,B,Y,CZ-3B R/B,2017-001B,41912
2020-004B,45025,ROCKET BODY,KZ-1A R/B,PRC,2020-01-16,JSC,2020-01-18,90.09,86.36,442,116,,,0,,7188,2020,4,B,Y,KZ-1A R/B,2020-004B,45025
2019-074BP,44774,DEBRIS,FALCON 9 DEB,US,2019-11-11,AFETR,2020-01-18,87.56,52.99,157,150,,,0,MEDIUM,7197,2019,74,BP,Y,FALCON 9 DEB,2019-074BP,44774
2009-054D,35945,DEBRIS,ARIANE 5 DEB (SYLDA),FR,2009-09-30,FRGUI,2020-01-14,88.62,3.21,252,161,,,0,LARGE,7183,2009,54,D,Y,ARIANE 5 DEB (SYLDA),2009-054D,35945
2019-074BQ,44775,DEBRIS,FALCON 9 DEB,US,2019-11-11,AFETR,2020-01-12,87.94,52.99,177,168,,,0,MEDIUM,7183,2019,74,BQ,Y,FALCON 9 DEB,2019-074BQ,44775
2018-056J,43555,DEBRIS,CZ-2C DEB,PRC,2018-07-09,JSC,2020-01-12,91.36,98.12,354,328,,,0,SMALL,7196,2018,56,J,Y,CZ-2C DEB,2018-056J,43555
2019-006BB,44164,DEBRIS,MICROSAT-R DEB,IND,2019-01-24,SRI,2020-01-12,88.94,96.61,245,199,,,0,SMALL,7235,2019,6,BB,Y,MICROSAT-R DEB,2019-006BB,44164
2019-006DW,44472,DEBRIS,MICROSAT-R DEB,IND,2019-01-24,SRI,2020-01-11,91.18,96.49,425,239,,,0,SMALL,7183,2019,6,DW,Y,MICROSAT-R DEB,2019-006DW,44472
2018-021D,43240,DEBRIS,H-2A DEB,JPN,2018-02-27,TNSTA,2020-01-10,,,,,NO ELEMENTS AVAILABLE,,0,,7183,2018,21,D,Y,H-2A DEB,2018-021D,43240
2019-006DV,44471,DEBRIS,MICROSAT-R DEB,IND,2019-01-24,SRI,2020-01-10,89.23,95.5,266,207,,,0,SMALL,7220,2019,6,DV,Y,MICROSAT-R DEB,2019-006DV,44471
2019-074BR,44776,DEBRIS,FALCON 9 DEB,US,2019-11-11,AFETR,2020-01-08,87.69,52.99,164,156,,,0,MEDIUM,7183,2019,74,BR,Y,FALCON 9 DEB,2019-074BR,44776
1993-036ASU,35822,DEBRIS,COSMOS 2251 DEB,CIS,1993-06-16,PKMTR,2020-01-07,90.07,73.99,282,274,,,0,SMALL,7197,1993,36,ASU,Y,COSMOS 2251 DEB,1993-036ASU,35822
2019-083A,44821,PAYLOAD,DRAGON CRS-19,US,2019-12-05,AFETR,2020-01-07,92.93,51.65,422,415,,,0,LARGE,7177,2019,83,A,Y,DRAGON CRS-19,2019-083A,44821
1977-010A,9829,PAYLOAD,MOLNIYA 2-17,CIS,1977-02-11,PKMTR,2020-01-06,90.56,61.43,534,70,,,0,LARGE,7175,1977,10,A,Y,MOLNIYA 2-17,1977-010A,9829
2019-006BS,44179,DEBRIS,MICROSAT-R DEB,IND,2019-01-24,SRI,2020-01-01,87.62,96.09,164,150,,,0,SMALL,7176,2019,6,BS,Y,MICROSAT-R DEB,2019-006BS,44179
2000-048A,26476,PAYLOAD,DM-F3,US,2000-08-23,AFETR,2019-12-31,92.91,27.23,738,96,,,0,LARGE,7173,2000,48,A,Y,DM-F3,2000-048A,26476
2002-031A,27450,PAYLOAD,IRIDIUM 97,US,2002-06-20,PKMTR,2019-12-27,87.68,86.65,201,119,,,0,LARGE,7166,2002,31,A,Y,IRIDIUM 97,2002-031A,27450
2019-006C,44117,DEBRIS,MICROSAT-R DEB,IND,2019-01-24,SRI,2019-12-22,89.41,95.22,278,213,,,0,SMALL,7196,2019,6,C,Y,MICROSAT-R DEB,2019-006C,44117
2019-094A,44900,PAYLOAD,CST-100 STARLINER,US,2019-12-20,AFETR,2019-12-22,89.57,51.59,261,246,,,0,LARGE,7166,2019,94,A,Y,CST-100 STARLINER,2019-094A,44900
2019-084C,44826,ROCKET BODY,ELECTRON R/B,US,2019-12-06,RLLC,2019-12-18,87.62,96.98,170,143,,,0,LARGE,7197,2019,84,C,Y,ELECTRON R/B,2019-084C,44826
2019-069D,44639,DEBRIS,ELECTRON DEB,US,2019-10-17,RLLC,2019-12-14,98.79,87.9,1088,313,,,0,,7169,2019,69,D,Y,ELECTRON DEB,2019-069D,44639
2019-006EB,44503,DEBRIS,MICROSAT-R DEB,IND,2019-01-24,SRI,2019-12-13,88.09,95.14,195,165,,,0,SMALL,7159,2019,6,EB,Y,MICROSAT-R DEB,2019-006EB,44503
2019-083C,44823,DEBRIS,DRAGON CRS-19 DEB,US,2019-12-05,AFETR,2019-12-13,87.88,51.64,184,155,,,0,MEDIUM,7152,2019,83,C,Y,DRAGON CRS-19 DEB,2019-083C,44823
2019-083B,44822,DEBRIS,DRAGON CRS-19 DEB,US,2019-12-05,AFETR,2019-12-13,87.84,51.62,182,153,,,0,MEDIUM,7152,2019,83,B,Y,DRAGON CRS-19 DEB,2019-083B,44822
2019-032M,44325,DEBRIS,CZ-11 DEB,PRC,2019-06-05,YSLA,2019-12-11,88.88,44.89,233,205,,,0,SMALL,7159,2019,32,M,Y,CZ-11 DEB,2019-032M,44325
2019-006DT,44469,DEBRIS,MICROSAT-R DEB,IND,2019-01-24,SRI,2019-12-11,89.6,95.32,300,209,,,0,SMALL,7197,2019,6,DT,Y,MICROSAT-R DEB,2019-006DT,44469
1977-010E,9850,ROCKET BODY,SL-6 R/B(2),CIS,1977-02-11,PKMTR,2019-12-11,95.34,61.54,955,115,,,0,LARGE,7152,1977,10,E,Y,SL-6 R/B(2),1977-010E,9850
2019-085B,44834,ROCKET BODY,SL-4 R/B,CIS,2019-12-06,TTMTR,2019-12-10,87.43,51.65,151,143,,,0,LARGE,7197,2019,85,B,Y,SL-4 R/B,2019-085B,44834
1998-067LS,42711,PAYLOAD,ALTAIR PATHFINDER,US,1998-11-20,TTMTR,2019-12-08,87.94,51.61,177,168,,,0,MEDIUM,7150,1998,67,LS,Y,ALTAIR PATHFINDER,1998-067LS,42711
1997-051YB,37566,DEBRIS,IRIDIUM 33 DEB,US,1997-09-14,TTMTR,2019-12-07,91.39,86.41,351,335,,,0,SMALL,7155,1997,51,YB,Y,IRIDIUM 33 DEB,1997-051YB,37566
2019-022A,44188,PAYLOAD,CYGNUS NG-11,US,2019-04-17,WLPIS,2019-12-06,90.39,51.68,376,212,,,0,LARGE,7145,2019,22,A,Y,CYGNUS NG-11,2019-022A,44188
2018-027B,43242,ROCKET BODY,GSLV R/B,IND,2018-03-29,SRI,2019-12-04,95.9,20.19,1019,104,,,0,LARGE,7143,2018,27,B,Y,GSLV R/B,2018-027B,43242
2019-032J,44318,DEBRIS,CZ-11 DEB,PRC,2019-06-05,YSLA,2019-12-04,87.71,44.83,173,150,,,0,SMALL,7152,2019,32,J,Y,CZ-11 DEB,2019-032J,44318
2018-057B,43540,ROCKET BODY,CZ-3A R/B,PRC,2018-07-09,XSC,2019-12-04,88.58,54.9,333,76,,,0,LARGE,7145,2018,57,B,Y,CZ-3A R/B,2018-057B,43540
2019-039G,44630,DEBRIS,COSMOS 2535 DEB,CIS,2019-07-10,PKMTR,2019-12-01,90.27,97.96,296,279,,,0,SMALL,7162,2019,39,G,Y,COSMOS 2535 DEB,2019-039G,44630
2019-006CK,44199,DEBRIS,MICROSAT-R DEB,IND,2019-01-24,SRI,2019-11-29,88.82,96.59,241,192,,,0,SMALL,7197,2019,6,CK,Y,MICROSAT-R DEB,2019-006CK,44199
2019-047A,44455,PAYLOAD,PROGRESS MS-12,CIS,2019-07-31,TTMTR,2019-11-29,92.92,51.66,425,410,,,0,,7137,2019,47,A,Y,PROGRESS MS-12,2019-047A,44455
2010-024B,36591,ROCKET BODY,CZ-3C R/B,PRC,2010-06-02,XSC,2019-11-28,90.49,20.62,493,105,,,0,LARGE,7136,2010,24,B,Y,CZ-3C R/B,2010-024B,36591
2019-006CG,44196,DEBRIS,MICROSAT-R DEB,IND,2019-01-24,SRI,2019-11-26,89.16,95.05,269,197,,,0,SMALL,7197,2019,6,CG,Y,MICROSAT-R DEB,2019-006CG,44196
2019-079B,44798,ROCKET BODY,VOLGA R/B,CIS,2019-11-25,PKMTR,2019-11-26,96.98,97.9,861,368,,,0,LARGE,7145,2019,79,B,Y,VOLGA R/B,2019-079B,44798
2019-006AD,44142,DEBRIS,MICROSAT-R DEB,IND,2019-01-24,SRI,2019-11-26,88.66,96.51,234,182,,,0,SMALL,7141,2019,6,AD,Y,MICROSAT-R DEB,2019-006AD,44142
1999-025CXK,32318,DEBRIS,FENGYUN 1C DEB,PRC,1999-05-10,TSC,2019-11-25,93.63,97.29,456,449,,,0,SMALL,7196,1999,25,CXK,Y,FENGYUN 1C DEB,1999-025CXK,32318
2019-072F,44708,DEBRIS,CZ-4B DEB,PRC,2019-11-03,TSC,2019-11-25,92.21,97.49,400,366,,,0,SMALL,7197,2019,72,F,Y,CZ-4B DEB,2019-072F,44708
2006-030A,29260,PAYLOAD,COSMOS 2422,CIS,2006-07-21,PKMTR,2019-11-23,94.13,63.15,880,72,,,0,LARGE,7131,2006,30,A,Y,COSMOS 2422,2006-030A,29260
2019-006U,44133,DEBRIS,MICROSAT-R DEB,IND,2019-01-24,SRI,2019-11-21,87.56,96.43,160,148,,,0,SMALL,7148,2019,6,U,Y,MICROSAT-R DEB,2019-006U,44133
2019-075B,44778,ROCKET BODY,KZ-1A R/B,PRC,2019-11-13,JSC,2019-11-20,87.59,97.46,194,116,,,0,LARGE,7197,2019,75,B,Y,KZ-1A R/B,2019-075B,44778
2017-004B,41938,ROCKET BODY,ATLAS 5 CENTAUR R/B,US,2017-01-21,AFETR,2019-11-19,89.02,22.49,345,107,,,0,LARGE,7134,2017,4,B,Y,ATLAS 5 CENTAUR R/B,2017-004B,41938
2010-035G,36801,DEBRIS,PSLV DEB,IND,2010-07-12,SRI,2019-11-17,87.1,98.03,137,125,,,0,LARGE,7156,2010,35,G,Y,PSLV DEB,2010-035G,36801
1999-025CQB,31998,DEBRIS,FENGYUN 1C DEB,PRC,1999-05-10,TSC,2019-11-17,92.39,105.48,394,389,,,0,SMALL,7169,1999,25,CQB,Y,FENGYUN 1C DEB,1999-025CQB,31998
2012-018C,38252,DEBRIS,CZ-3B DEB,PRC,2012-04-29,XSC,2019-11-17,89.02,54.57,342,110,,,0,LARGE,7125,2012,18,C,Y,CZ-3B DEB,2012-018C,38252
2019-006EA,44502,DEBRIS,MICROSAT-R DEB,IND,2019-01-24,SRI,2019-11-15,95.48,95.2,857,227,,,0,SMALL,7268,2019,6,EA,Y,MICROSAT-R DEB,2019-006EA,44502
2019-006R,44130,DEBRIS,MICROSAT-R DEB,IND,2019-01-24,SRI,2019-11-14,87.93,96.29,184,159,,,0,SMALL,7197,2019,6,R,Y,MICROSAT-R DEB,2019-006R,44130
2013-003A,39068,PAYLOAD,STSAT 2C,SKOR,2013-01-30,NSC,2019-11-13,87.3,80.14,149,132,,,0,MEDIUM,7159,2013,3,A,Y,STSAT 2C,2013-003A,39068
2019-006DQ,44466,DEBRIS,MICROSAT-R DEB,IND,2019-01-24,SRI,2019-11-13,90.73,93.93,385,235,,,0,SMALL,7123,2019,6,DQ,Y,MICROSAT-R DEB,2019-006DQ,44466
2019-071B,44702,ROCKET BODY,ANTARES R/B,US,2019-11-02,WLPIS,2019-11-07,87.54,51.61,160,145,,,0,LARGE,7197,2019,71,B,Y,ANTARES R/B,2019-071B,44702
1993-036AZH,36380,DEBRIS,COSMOS 2251 DEB,CIS,1993-06-16,PKMTR,2019-11-06,92.07,73.95,385,367,,,0,SMALL,7196,1993,36,AZH,Y,COSMOS 2251 DEB,1993-036AZH,36380
